lineage,R
BA.1.1.16,-40.56333541870117
BA.1.1.18,-27.4554386138916
BA.1.1.2,-11.282992362976074
BA.1.1.3,-30.021564483642578
BA.1.1.4,-10.9263334274292
BA.1.13,-33.676719665527344
BA.1.13.1,-12.603280067443848
BA.1.14,-40.853553771972656
BA.1.15,-30.682022094726562
BA.1.15.1,-36.12232208251953
BA.1.17,-34.973472595214844
BA.1.17.1,-32.550331115722656
BA.1.17.2,-35.45729064941406
BA.1.18,-33.41419982910156
BA.1.20,-28.45575714111328
BA.2,-2.659188985824585
BA.2.1,-0.8275678157806396
BA.2.10,-9.456936836242676
BA.2.10.1,-4.067883014678955
BA.2.10.4,10.382028579711914
BA.2.11,1.7191659212112427
BA.2.12,-5.985122203826904
BA.2.12.1,3.352587938308716
BA.2.12.2,-2.211779832839966
BA.2.13,2.1182773113250732
BA.2.18,0.5352667570114136
BA.2.2,-1.0600361824035645
BA.2.2.1,-5.79567813873291
BA.2.20,-0.24298007786273956
BA.2.22,-0.7486119270324707
BA.2.23,0.10656262934207916
BA.2.24,-0.39008957147598267
BA.2.28,0.9037706851959229
BA.2.3,-11.068826675415039
BA.2.3.1,-1.365928053855896
BA.2.3.11,-34.22059631347656
BA.2.3.12,-2.057501792907715
BA.2.3.15,0.8271181583404541
BA.2.3.17,-1.1848865747451782
BA.2.3.2,2.0460212230682373
BA.2.3.20,26.11534309387207
BA.2.3.4,-3.447775363922119
BA.2.3.7,-0.30814242362976074
BA.2.36,0.8002024292945862
BA.2.37,-13.283113479614258
BA.2.38,0.22931240499019623
BA.2.38.2,8.358317375183105
BA.2.4,-0.9072997570037842
BA.2.40.1,0.5710721611976624
BA.2.42,-1.2371755838394165
BA.2.43,-2.505824327468872
BA.2.48,1.0575722455978394
BA.2.5,-10.143948554992676
BA.2.54,1.383129596710205
BA.2.56,-0.7160735130310059
BA.2.57,-0.19892707467079163
BA.2.61,0.49408087134361267
BA.2.62,-1.9832602739334106
BA.2.64,-1.5521668195724487
BA.2.65,-0.8696098923683167
BA.2.65 (consensus call),164.57330322265625
BA.2.68,-2.3931143283843994
BA.2.7,0.1716596633195877
BA.2.71,5.287315368652344
BA.2.72,-0.5314728021621704
BA.2.74,3.504835605621338
BA.2.75,8.025834083557129
BA.2.75.1,9.835966110229492
BA.2.75.2,20.11812973022461
BA.2.75.3,8.371990203857422
BA.2.75.4,20.760217666625977
BA.2.75.5,20.161287307739258
BA.2.75.6,34.070404052734375
BA.2.76,3.004141092300415
BA.2.82,0.4318404495716095
BA.2.86.1,122.23738098144531
BA.2.87 (consensus call),-0.8275678157806396
BA.2.9,-0.8057773113250732
BA.2.9.3,-0.42663636803627014
BA.2.9.5,-0.7330770492553711
BA.4,1.5464181900024414
BA.4.1,8.620899200439453
BA.4.1.1,2.2248964309692383
BA.4.1.6,2.8081722259521484
BA.4.1.8,7.184203147888184
BA.4.1.9,14.384194374084473
BA.4.4,4.531208515167236
BA.4.6,16.776697158813477
BA.4.6.4,9.54702377319336
BA.4.6.5,23.684249877929688
BA.4.7,10.382028579711914
BA.5,8.293379783630371
BA.5.1,7.7908501625061035
BA.5.1.1,2.695557117462158
BA.5.1.10,17.53547477722168
BA.5.1.12,8.025877952575684
BA.5.1.15,3.004141092300415
BA.5.1.2,2.3377063274383545
BA.5.1.21,16.978208541870117
BA.5.1.22,7.40442419052124
BA.5.1.23,19.984880447387695
BA.5.1.3,14.095017433166504
BA.5.1.30,14.543259620666504
BA.5.1.35,20.059045791625977
BA.5.1.4,2.9556097984313965
BA.5.1.5,12.446172714233398
BA.5.10,9.993142127990723
BA.5.10.1,8.01250171661377
BA.5.2,19.252132415771484
BA.5.2.1,19.638397216796875
BA.5.2.12,18.10122299194336
BA.5.2.13,27.861618041992188
BA.5.2.14,16.978208541870117
BA.5.2.19,7.196634292602539
BA.5.2.2,3.013482093811035
BA.5.2.20,19.215682983398438
BA.5.2.21,4.851325511932373
BA.5.2.22,14.99507999420166
BA.5.2.24,11.741735458374023
BA.5.2.26,6.259593486785889
BA.5.2.27,13.600526809692383
BA.5.2.28,5.105675220489502
BA.5.2.3,2.657243013381958
BA.5.2.31,2.0673909187316895
BA.5.2.32,6.868093490600586
BA.5.2.33,6.262567520141602
BA.5.2.34,25.11788558959961
BA.5.2.35,25.815488815307617
BA.5.2.36,26.392623901367188
BA.5.2.44,7.509108066558838
BA.5.2.47,27.903583526611328
BA.5.2.48,35.472816467285156
BA.5.2.49,43.016780853271484
BA.5.2.5,2.3377063274383545
BA.5.2.57,18.710041046142578
BA.5.2.6,27.482160568237305
BA.5.2.62,103.6157455444336
BA.5.2.7,7.242244243621826
BA.5.2.9,5.024543762207031
BA.5.3.1,6.242030620574951
BA.5.3.3,1.6418180465698242
BA.5.5,3.7225430011749268
BA.5.6,14.523396492004395
BA.5.6.3,20.760217666625977
BA.5.8,1.4660807847976685
BA.5.9,18.101097106933594
BE.1,6.14599609375
BE.1.1,17.60319709777832
BE.1.1.1,5.156401634216309
BE.1.1.2,7.184203147888184
BE.1.4,9.62553882598877
BE.1.4.1,17.16465187072754
BE.3,4.302847385406494
BE.4,4.9974236488342285
BE.4.1,5.101459503173828
BF.1,3.458529472351074
BF.10,18.408567428588867
BF.11,37.488643646240234
BF.11.5,22.588701248168945
BF.13,21.972291946411133
BF.14,43.296783447265625
BF.15,20.059045791625977
BF.18,1.143743634223938
BF.2,9.072452545166016
BF.23,9.62553882598877
