lineage,R
AY.9,1.2481204271316528
AY.9.2,-108.2560806274414
AY.90,1.2624680995941162
AY.92,-98.55491638183594
AY.95,-106.88895416259766
AY.98,-90.10176849365234
AY.98.1,-100.56742858886719
AY.99,-4.882795810699463
AY.99.1,-99.56963348388672
AY.99.2,-90.57247924804688
B,-92.3985595703125
B.1,-83.69221496582031
B.1.1,-44.340415954589844
B.1.1.161,-54.03660202026367
B.1.1.168,1.2718055248260498
B.1.1.186,1.2708534002304077
B.1.1.207,1.2718055248260498
B.1.1.228,7.197096824645996
B.1.1.28,1.2624220848083496
B.1.1.519,41.631126403808594
B.1.1.529,-48.961299896240234
B.1.1.7,-97.35043334960938
B.1.139,1.256513237953186
B.1.2,-72.1834487915039
B.1.234,31.436649322509766
B.1.240,-96.75533294677734
B.1.241,1.2639286518096924
B.1.243,-12.655538558959961
B.1.258,-4.0338358879089355
B.1.280,1.264839768409729
B.1.298,-44.26994705200195
B.1.351,-98.05611419677734
B.1.369,1.2611404657363892
B.1.399,1.2672301530838013
B.1.400,1.2831170558929443
B.1.427,1.275516152381897
B.1.429,11.326197624206543
B.1.503,50.510738372802734
B.1.509,1.272585391998291
B.1.517,-64.6667709350586
B.1.526,-90.00595092773438
B.1.558,7.202072620391846
B.1.575,1.2720308303833008
B.1.577,-31.238475799560547
B.1.588,1.282594919204712
B.1.595,-48.25212478637695
B.1.617,1.2717524766921997
B.1.617.1,1.2705129384994507
B.1.617.2,-96.33578491210938
B.1.621,-117.5965347290039
B.1.621.1,1.2683099508285522
B.1.637.1,-96.04708099365234
B.1.639,1.272625207901001
B.1.640.1,-71.74473571777344
B.1.640.2,1.265023112297058
B.1.9,1.268747329711914
B.11,1.2831621170043945
B.23,1.2643052339553833
B.28,1.2564560174942017
B.41,1.2665597200393677
B.55,1.251661777496338
B.6,1.264839768409729
BA.1,-48.2589111328125
BA.1.1,-37.67559814453125
BA.1.1 (consensus call),49.46208953857422
BA.1.1.1,-31.023244857788086
BA.1.1.10,-31.66671371459961
BA.1.1.11,-26.15546226501465
BA.1.1.12,-36.49151611328125
BA.1.1.13,-32.764591217041016
BA.1.1.14,-38.17839050292969
BA.1.1.15,-36.35197448730469
BA.1.1.16,-38.123023986816406
BA.1.1.17,-42.25252914428711
BA.1.1.18,-41.222015380859375
BA.1.1.2,-42.051944732666016
BA.1.1.3,-29.66272735595703
BA.1.1.4,-38.54335403442383
BA.1.1.5,-18.76128387451172
BA.1.1.6,-41.046817779541016
BA.1.1.7,-34.61076354980469
BA.1.1.8,-40.84135055541992
BA.1.1.9,-34.316070556640625
BA.1.10,-36.920372009277344
BA.1.12,-30.91669464111328
BA.1.13,-45.37346649169922
BA.1.13.1,-24.080568313598633
BA.1.14,-42.071651458740234
BA.1.14.1,-37.29600143432617
BA.1.14.2,-32.27153396606445
BA.1.15,-47.098182678222656
BA.1.15.1,-51.124656677246094
BA.1.15.2,-33.8182487487793
BA.1.15.3,-37.47682189941406
BA.1.16,-42.441246032714844
BA.1.16.2,1.2643052339553833
BA.1.17,-50.08759307861328
BA.1.17.1,1.1915192604064941
BA.1.17.2,-47.6750602722168
BA.1.18,-47.111392974853516
BA.1.19,-48.15735626220703
BA.1.20,-46.80011749267578
BA.1.21,-38.294677734375
BA.1.21.1,-33.96139907836914
BA.1.22,-26.606447219848633
BA.1.23,-18.73324203491211
BA.1.3,-36.794029235839844
BA.1.4,-45.94596481323242
BA.1.5,-38.6007194519043
BA.1.6,-43.55191421508789
BA.1.7,-35.29242706298828
BA.1.8,1.1699459552764893
BA.1.9,-35.84906005859375
BA.2,-9.339695930480957
BA.2.1,-7.391012191772461
BA.2.10,-17.577817916870117
BA.2.10.1,-16.6387939453125
BA.2.10.2,-6.490578651428223
BA.2.10.3,-16.494155883789062
BA.2.10.4,34.13677978515625
BA.2.11,8.244479179382324
